GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
attendance-service-logic/attendance-service-logic,cz.cvut.fel.attendance.service.config,RequestInterceptor,34,0,0,0,10,0,5,0,5,0
attendance-service-logic/attendance-service-logic,cz.cvut.fel.attendance.service.config,WebConfig,48,0,0,0,12,0,4,0,4,0
attendance-service-logic/attendance-service-logic,cz.cvut.fel.attendance.service.config,JwtRequestFilter,94,0,14,0,23,0,9,0,2,0
attendance-service-logic/attendance-service-logic,cz.cvut.fel.attendance.service.config,SecurityConfig,93,0,0,0,25,0,9,0,9,0
attendance-service-logic/attendance-service-logic,cz.cvut.fel.attendance.service.config,SecurityEndpoints,86,0,0,0,14,0,2,0,2,0
attendance-service-logic/attendance-service-logic,cz.cvut.fel.attendance.service.config,JwtUtil,109,0,4,0,26,0,12,0,10,0
attendance-service-logic/attendance-service-logic,cz.cvut.fel.attendance.service.model,TrainingUnit,90,0,4,0,19,0,19,0,17,0
attendance-service-logic/attendance-service-logic,cz.cvut.fel.attendance.service.model,Child,183,0,6,0,39,0,34,0,31,0
attendance-service-logic/attendance-service-logic,cz.cvut.fel.attendance.service.model,User,73,0,0,0,17,0,16,0,16,0
attendance-service-logic/attendance-service-logic,cz.cvut.fel.attendance.service.model,Training,216,0,8,0,47,0,38,0,34,0
attendance-service-logic/attendance-service-logic,cz.cvut.fel.attendance.service.model,Event,92,0,4,0,19,0,21,0,19,0
attendance-service-logic/attendance-service-logic,cz.cvut.fel.attendance.service.model,Trainer,95,0,6,0,21,0,14,0,11,0
attendance-service-logic/attendance-service-logic,cz.cvut.fel.attendance.service.model,TrainerAttendance,31,0,0,0,6,0,9,0,9,0
attendance-service-logic/attendance-service-logic,cz.cvut.fel.attendance.service.model,ChildAttendance,31,0,0,0,6,0,9,0,9,0
attendance-service-logic/attendance-service-logic,cz.cvut.fel.attendance.service.model,School,128,0,0,0,22,0,20,0,20,0
attendance-service-logic/attendance-service-logic,cz.cvut.fel.attendance.service.model,Parent,46,0,0,0,9,0,6,0,6,0
attendance-service-logic/attendance-service-logic,cz.cvut.fel.attendance.service.api,EventApiImpl,45,0,0,0,8,0,7,0,7,0
attendance-service-logic/attendance-service-logic,cz.cvut.fel.attendance.service.api,TrainingApiImpl,64,0,0,0,11,0,10,0,10,0
attendance-service-logic/attendance-service-logic,cz.cvut.fel.attendance.service.api,TrainerAttendanceApiImpl,18,0,0,0,3,0,3,0,3,0
attendance-service-logic/attendance-service-logic,cz.cvut.fel.attendance.service.api,UserApiImpl,123,0,0,0,22,0,4,0,4,0
attendance-service-logic/attendance-service-logic,cz.cvut.fel.attendance.service.api,TrainingUnitApiImpl,31,0,0,0,5,0,5,0,5,0
attendance-service-logic/attendance-service-logic,cz.cvut.fel.attendance.service.api,ChildApiImpl,68,0,0,0,13,0,10,0,10,0
attendance-service-logic/attendance-service-logic,cz.cvut.fel.attendance.service.api,SchoolApiImpl,45,0,0,0,8,0,7,0,7,0
attendance-service-logic/attendance-service-logic,cz.cvut.fel.attendance.service.api,ChildAttendanceApiImpl,24,0,0,0,4,0,4,0,4,0
attendance-service-logic/attendance-service-logic,cz.cvut.fel.attendance.service.mappers,ChildAttendanceMapperImpl,155,0,24,0,51,0,19,0,7,0
attendance-service-logic/attendance-service-logic,cz.cvut.fel.attendance.service.mappers,TrainerAttendanceMapperImpl,155,0,24,0,51,0,19,0,7,0
attendance-service-logic/attendance-service-logic,cz.cvut.fel.attendance.service.mappers,TrainerMapperImpl,3,0,0,0,1,0,1,0,1,0
attendance-service-logic/attendance-service-logic,cz.cvut.fel.attendance.service.mappers,TrainingMapperImpl,215,0,26,0,64,0,19,0,6,0
attendance-service-logic/attendance-service-logic,cz.cvut.fel.attendance.service.mappers,EventMapperImpl,198,0,24,0,59,0,18,0,6,0
attendance-service-logic/attendance-service-logic,cz.cvut.fel.attendance.service.mappers,ChildMapperImpl,262,0,36,0,81,0,25,0,7,0
attendance-service-logic/attendance-service-logic,cz.cvut.fel.attendance.service.mappers,SchoolMapperImpl,204,0,28,0,61,0,20,0,6,0
attendance-service-logic/attendance-service-logic,cz.cvut.fel.attendance.service.mappers,TrainingUnitMapperImpl,258,0,48,0,90,0,34,0,10,0
attendance-service-logic/attendance-service-logic,cz.cvut.fel.attendance.service.service,EventService,146,0,2,0,24,0,12,0,11,0
attendance-service-logic/attendance-service-logic,cz.cvut.fel.attendance.service.service,TrainingUnitService,287,0,6,0,56,0,14,0,11,0
attendance-service-logic/attendance-service-logic,cz.cvut.fel.attendance.service.service,SchoolService,162,0,4,0,27,0,13,0,11,0
attendance-service-logic/attendance-service-logic,cz.cvut.fel.attendance.service.service,UserService,164,0,6,0,38,0,11,0,8,0
attendance-service-logic/attendance-service-logic,cz.cvut.fel.attendance.service.service,ChildAttendanceService,111,0,0,0,18,0,7,0,7,0
attendance-service-logic/attendance-service-logic,cz.cvut.fel.attendance.service.service,TrainingService,262,0,4,0,43,0,22,0,20,0
attendance-service-logic/attendance-service-logic,cz.cvut.fel.attendance.service.service,ChildService,434,0,18,0,69,0,31,0,22,0
attendance-service-logic/attendance-service-logic,cz.cvut.fel.attendance.service.service,TrainerAttendanceService,67,0,0,0,11,0,5,0,5,0
attendance-service-logic/attendance-service-logic,cz.cvut.fel.attendance.service,AttendanceServiceApp,8,0,0,0,3,0,2,0,2,0
attendance-service-logic/attendance-service-logic,cz.cvut.fel.attendance.service.enums,Role,21,0,0,0,4,0,1,0,1,0
attendance-service-logic/attendance-service-rest-client,cz.fel.cvut.attendance.service.exception,TrainingUnitException,10,0,0,0,4,0,2,0,2,0
attendance-service-logic/attendance-service-rest-client,cz.fel.cvut.attendance.service.exception,TrainingException,10,0,0,0,4,0,2,0,2,0
